detector_type,descriptor_type,frame,no_keypoints_frame,no_keypoints_roi,detector_time_ms,descriptor_time_ms,no_matched_points,matching_time_ms
FAST,AKAZE,0,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,1,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,2,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,3,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,4,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,5,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,6,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,7,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,8,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,9,0,0,0.00000000,0.00000000,0,0.00000000

FAST,SIFT,0,1824,149,0.56892400,12.42276100,0,0.00000000
FAST,SIFT,1,1832,152,0.61046700,8.78489300,118,0.29582600
FAST,SIFT,2,1810,150,0.60106200,8.77669600,123,0.28138200
FAST,SIFT,3,1817,155,0.68856700,8.77213900,110,0.26212800
FAST,SIFT,4,1793,149,0.57444900,8.75885100,119,0.24942200
FAST,SIFT,5,1796,149,0.55915900,8.55698800,114,0.28404200
FAST,SIFT,6,1788,156,0.55978900,8.57761300,119,0.30105200
FAST,SIFT,7,1695,150,0.59826200,8.54219300,123,0.28375900
FAST,SIFT,8,1749,138,0.55804800,8.80681300,117,0.24018100
FAST,SIFT,9,1770,143,0.54353800,8.55269400,103,0.25991700

BRISK,BRISK,0,2757,264,36.70863100,2.16510600,0,0.00000000
BRISK,BRISK,1,2777,282,30.48360200,2.29951300,171,0.46139000
BRISK,BRISK,2,2741,282,30.20068400,2.30382100,176,0.53202700
BRISK,BRISK,3,2735,277,30.46805500,2.32051900,157,0.44512400
BRISK,BRISK,4,2757,297,30.37375100,2.48436300,176,0.46052600
BRISK,BRISK,5,2695,279,30.16116600,2.29337000,174,0.46257100
BRISK,BRISK,6,2715,289,30.30505900,2.41974200,188,0.44459600
BRISK,BRISK,7,2628,272,30.01731900,2.27836200,173,0.45042400
BRISK,BRISK,8,2639,266,29.89979200,2.24265200,171,0.42641900
BRISK,BRISK,9,2672,254,30.04031500,2.09264400,184,0.39859400

BRISK,BRIEF,0,2757,264,30.40478400,0.54084300,0,0.00000000
BRISK,BRIEF,1,2777,282,30.60147900,0.56299600,178,0.39585000
BRISK,BRIEF,2,2741,282,30.30778600,0.58071300,205,0.43626200
BRISK,BRIEF,3,2735,277,30.22132000,0.55251500,185,0.41773600
BRISK,BRIEF,4,2757,297,30.62122200,0.58411800,179,0.43047100
BRISK,BRIEF,5,2695,279,30.10918900,0.55903100,183,0.40593200
BRISK,BRIEF,6,2715,289,30.26909500,0.58499200,195,0.43121300
BRISK,BRIEF,7,2628,272,29.62829100,0.55805600,207,0.42748500
BRISK,BRIEF,8,2639,266,30.31143800,0.53775700,189,0.40949600
BRISK,BRIEF,9,2672,254,29.87229500,0.51999000,183,0.36913200

BRISK,ORB,0,2757,264,30.62119900,7.63224500,0,0.00000000
BRISK,ORB,1,2777,282,30.71719200,5.83140400,160,0.40777900
BRISK,ORB,2,2741,282,30.17719400,5.73271000,171,0.42582000
BRISK,ORB,3,2735,277,31.24921500,5.82686300,157,0.41934000
BRISK,ORB,4,2757,297,30.41171000,5.81646700,170,0.43934300
BRISK,ORB,5,2695,279,30.17833600,5.70201700,154,0.41813400
BRISK,ORB,6,2715,289,30.19817400,5.77244200,180,0.42250600
BRISK,ORB,7,2628,272,30.00315000,5.81681900,171,0.43300900
BRISK,ORB,8,2639,266,29.97953900,5.81306200,175,0.40024900
BRISK,ORB,9,2672,254,29.93097400,5.78933300,172,0.38257200

BRISK,FREAK,0,2757,264,30.64583000,19.88582200,0,0.00000000
BRISK,FREAK,1,2777,282,32.78571200,19.94680700,160,0.42421200
BRISK,FREAK,2,2741,282,31.79063200,19.94180300,177,0.38701000
BRISK,FREAK,3,2735,277,31.11086500,19.36585300,155,0.41129800
BRISK,FREAK,4,2757,297,31.43121900,19.42559900,173,0.42506900
BRISK,FREAK,5,2695,279,31.31353700,19.89611500,161,0.39180500
BRISK,FREAK,6,2715,289,31.05800600,19.84873600,183,0.41187000
BRISK,FREAK,7,2628,272,30.96010000,19.74100100,169,0.41722700
BRISK,FREAK,8,2639,266,30.60345600,19.27544400,178,0.38256100
BRISK,FREAK,9,2672,254,31.07477600,19.71501900,168,0.35303600

BRISK,AKAZE,0,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,1,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,2,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,3,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,4,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,5,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,6,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,7,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,8,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,9,0,0,0.00000000,0.00000000,0,0.00000000

BRISK,SIFT,0,2757,264,31.77528400,23.25498800,0,0.00000000
BRISK,SIFT,1,2777,282,32.26877900,21.31037300,182,0.61538500
BRISK,SIFT,2,2741,282,32.70127100,21.17015200,193,0.64428900
BRISK,SIFT,3,2735,277,31.88300300,22.03283100,169,0.59439100
BRISK,SIFT,4,2757,297,32.00127200,22.58981300,183,0.61927300
BRISK,SIFT,5,2695,279,31.91822200,21.80812500,171,0.65287600
BRISK,SIFT,6,2715,289,31.98956400,21.74338000,195,0.64264900
BRISK,SIFT,7,2628,272,31.12552500,21.73575500,194,0.63337700
BRISK,SIFT,8,2639,266,31.84401300,21.94619400,176,0.61210000
BRISK,SIFT,9,2672,254,31.90277500,21.20945400,183,0.51465300

ORB,BRISK,0,500,92,29.38366400,0.87006600,0,0.00000000
ORB,BRISK,1,500,102,4.49572100,0.91818400,73,0.14853300
ORB,BRISK,2,500,106,4.37124900,0.91741900,74,0.14608700
ORB,BRISK,3,500,113,4.41748500,0.99190800,79,0.17840000
ORB,BRISK,4,500,109,4.30908000,0.97323900,85,0.15093500
ORB,BRISK,5,500,125,4.39347600,1.09368800,79,0.15892100
ORB,BRISK,6,500,130,4.36226100,1.11363500,92,0.17454600
ORB,BRISK,7,500,129,4.34126800,1.12042200,90,0.19394200
ORB,BRISK,8,500,127,4.42078100,1.09748300,88,0.16838700
ORB,BRISK,9,500,128,4.49044300,1.10587000,91,0.15397000

ORB,BRIEF,0,500,92,5.08554600,0.42785600,0,0.00000000
ORB,BRIEF,1,500,102,4.38835800,0.30909600,49,0.14076300
ORB,BRIEF,2,500,106,4.31336400,0.28214500,43,0.14217500
ORB,BRIEF,3,500,113,4.69257500,0.33016500,45,0.15108900
ORB,BRIEF,4,500,109,4.43817600,0.30346200,59,0.13847500
ORB,BRIEF,5,500,125,4.35979200,0.32107500,53,0.15252700
ORB,BRIEF,6,500,130,4.34142600,0.41554600,78,0.19347900
ORB,BRIEF,7,500,129,4.60341700,0.32280400,68,0.17326700
ORB,BRIEF,8,500,127,4.68076600,0.32036400,84,0.16156700
ORB,BRIEF,9,500,128,4.43543300,0.31785600,66,0.16208400

ORB,ORB,0,500,92,4.34004900,6.30224700,0,0.00000000
ORB,ORB,1,500,102,4.30650600,5.89111100,65,0.13615300
ORB,ORB,2,500,106,4.50072700,6.04876800,69,0.14077300
ORB,ORB,3,500,113,4.48817800,6.02572200,71,0.14538500
ORB,ORB,4,500,109,4.74274700,6.11296400,85,0.15363200
ORB,ORB,5,500,125,4.42174100,6.46177300,91,0.16019200
ORB,ORB,6,500,130,4.45042400,6.22741600,101,0.16646900
ORB,ORB,7,500,129,4.41282600,6.10742700,95,0.17575800
ORB,ORB,8,500,127,4.60509300,6.45351400,93,0.17101900
ORB,ORB,9,500,128,4.49808700,6.09930300,91,0.16438500

ORB,FREAK,0,500,92,4.30205200,19.46363000,0,0.00000000
ORB,FREAK,1,500,102,4.43557900,16.22083300,42,0.08945400
ORB,FREAK,2,500,106,4.81422600,16.58812500,36,0.09750300
ORB,FREAK,3,500,113,4.43760600,17.13133100,44,0.11885800
ORB,FREAK,4,500,109,4.38118500,16.54422200,47,0.11971900
ORB,FREAK,5,500,125,4.72529100,16.37852000,44,0.09171300
ORB,FREAK,6,500,130,4.36180600,16.59315600,51,0.11531000
ORB,FREAK,7,500,129,4.69617100,16.81345600,52,0.10134700
ORB,FREAK,8,500,127,4.78218700,16.90171500,48,0.12131500
ORB,FREAK,9,500,128,4.54224700,16.78828200,56,0.10238100

ORB,AKAZE,0,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,1,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,2,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,3,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,4,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,5,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,6,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,7,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,8,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,9,0,0,0.00000000,0.00000000,0,0.00000000

ORB,SIFT,0,500,92,4.59530100,22.12840200,0,0.00000000
ORB,SIFT,1,500,102,4.60934600,18.85817600,67,0.14198900
ORB,SIFT,2,500,106,4.39394000,19.79259900,79,0.20451500
ORB,SIFT,3,500,113,4.39142400,19.54617500,78,0.21669300
ORB,SIFT,4,500,109,4.79143600,18.59979600,79,0.20052000
ORB,SIFT,5,500,125,4.39250500,20.07484200,82,0.17972700
ORB,SIFT,6,500,130,4.55713300,19.88209500,95,0.23952700
ORB,SIFT,7,500,129,4.91794300,21.14173700,95,0.25172500
ORB,SIFT,8,500,127,4.70081400,21.31995400,94,0.22766900
ORB,SIFT,9,500,128,4.45637500,20.25956700,94,0.20373000

AKAZE,BRISK,0,1351,166,44.65068000,1.58112700,0,0.00000000
AKAZE,BRISK,1,1327,157,42.32265000,1.37266700,137,0.22311100
AKAZE,BRISK,2,1311,161,43.15923600,2.23548500,125,0.22383900
AKAZE,BRISK,3,1351,155,41.88092100,1.35409700,129,0.23037000
AKAZE,BRISK,4,1360,163,42.65740500,2.25870800,129,0.25414000
AKAZE,BRISK,5,1347,164,42.78729900,2.29062600,131,0.25327100
AKAZE,BRISK,6,1363,173,42.27780100,2.31942000,132,0.27124500
AKAZE,BRISK,7,1331,175,40.98586900,1.50192200,142,0.28116300
AKAZE,BRISK,8,1358,177,41.52347700,2.38468700,146,0.26286300
AKAZE,BRISK,9,1331,179,43.24648000,2.48472900,144,0.26534800

AKAZE,BRIEF,0,1351,166,45.43640700,1.21398300,0,0.00000000
AKAZE,BRIEF,1,1327,157,40.20266800,1.34159200,141,0.21273500
AKAZE,BRIEF,2,1311,161,39.65675200,1.20759500,134,0.22543000
AKAZE,BRIEF,3,1351,155,40.41840400,1.25864400,131,0.22516900
AKAZE,BRIEF,4,1360,163,40.49650100,1.27708400,130,0.21513600
AKAZE,BRIEF,5,1347,164,40.26416900,1.16534300,134,0.21306800
AKAZE,BRIEF,6,1363,173,40.47551600,1.64604900,146,0.24438300
AKAZE,BRIEF,7,1331,175,40.00345000,1.41254700,150,0.25397900
AKAZE,BRIEF,8,1358,177,40.19619400,1.25555200,148,0.23521600
AKAZE,BRIEF,9,1331,179,38.84773100,1.29176000,152,0.24425700

AKAZE,ORB,0,1351,166,41.70725700,4.34202100,0,0.00000000
AKAZE,ORB,1,1327,157,39.86993900,4.38887700,130,0.21972900
AKAZE,ORB,2,1311,161,41.21268000,4.42615000,129,0.20308700
AKAZE,ORB,3,1351,155,40.18867300,4.37331400,128,0.19830000
AKAZE,ORB,4,1360,163,41.80276400,4.35308500,115,0.21607100
AKAZE,ORB,5,1347,164,41.40237700,4.33531200,132,0.20894000
AKAZE,ORB,6,1363,173,40.39992500,4.39883600,132,0.21769900
AKAZE,ORB,7,1331,175,46.21627800,4.61804900,137,0.24008000
AKAZE,ORB,8,1358,177,41.01689600,4.57745600,137,0.23883300
AKAZE,ORB,9,1331,179,40.75907200,4.75269700,146,0.22074100

AKAZE,FREAK,0,1351,166,42.28419600,20.32364200,0,0.00000000
AKAZE,FREAK,1,1327,157,42.50441500,20.08102200,126,0.21216500
AKAZE,FREAK,2,1311,161,42.28054400,20.11826900,129,0.21024200
AKAZE,FREAK,3,1351,155,41.78889200,20.14938800,127,0.23590200
AKAZE,FREAK,4,1360,163,41.99748300,20.29885600,121,0.22721300
AKAZE,FREAK,5,1347,164,41.57191700,20.36855600,122,0.24213800
AKAZE,FREAK,6,1363,173,43.20193300,20.33816300,133,0.25295500
AKAZE,FREAK,7,1331,175,41.87209100,20.47018400,144,0.25609300
AKAZE,FREAK,8,1358,177,43.26507800,20.36230400,147,0.23333200
AKAZE,FREAK,9,1331,179,42.04288800,20.40134300,138,0.22302000

AKAZE,AKAZE,0,1351,166,43.71187200,33.40343100,0,0.00000000
AKAZE,AKAZE,1,1327,157,39.65238700,33.04282600,138,0.23684300
AKAZE,AKAZE,2,1311,161,38.94466100,32.85420800,138,0.20997700
AKAZE,AKAZE,3,1351,155,39.33806500,32.93701100,133,0.21714900
AKAZE,AKAZE,4,1360,163,40.45515000,32.76930300,127,0.25555500
AKAZE,AKAZE,5,1347,164,39.58594000,33.19338000,129,0.26800800
AKAZE,AKAZE,6,1363,173,40.15221500,31.72426600,146,0.25185600
AKAZE,AKAZE,7,1331,175,39.31392800,33.58169400,147,0.23380000
AKAZE,AKAZE,8,1358,177,38.94265000,33.23132900,151,0.24462600
AKAZE,AKAZE,9,1331,179,39.33408200,33.96934000,150,0.25205000

AKAZE,SIFT,0,1351,166,43.56688500,13.66279700,0,0.00000000
AKAZE,SIFT,1,1327,157,44.80345000,13.57694200,134,0.28376000
AKAZE,SIFT,2,1311,161,44.59707600,13.86731200,134,0.27902300
AKAZE,SIFT,3,1351,155,44.23891700,13.77012900,130,0.29064900
AKAZE,SIFT,4,1360,163,44.06067700,13.93582600,136,0.32623800
AKAZE,SIFT,5,1347,164,44.65202300,13.64911200,137,0.28173900
AKAZE,SIFT,6,1363,173,44.62108600,13.95318300,147,0.34158000
AKAZE,SIFT,7,1331,175,44.82286300,14.11955500,147,0.32592700
AKAZE,SIFT,8,1358,177,44.49049100,14.00780400,154,0.31804200
AKAZE,SIFT,9,1331,179,44.24969700,14.01368300,151,0.35666400

SIFT,BRISK,0,1438,138,81.44222100,1.83309900,0,0.00000000
SIFT,BRISK,1,1371,132,59.11633200,1.86022900,64,0.21742000
SIFT,BRISK,2,1380,124,58.58666400,1.77761500,66,0.23564800
SIFT,BRISK,3,1335,137,59.15824200,1.81929200,62,0.18600500
SIFT,BRISK,4,1305,134,59.95405600,1.80655400,66,0.19787900
SIFT,BRISK,5,1369,140,59.15360300,1.97636900,59,0.20657500
SIFT,BRISK,6,1396,137,59.18725700,1.83368100,64,0.19392400
SIFT,BRISK,7,1382,148,59.40694900,1.89549300,64,0.20015100
SIFT,BRISK,8,1463,159,59.96047300,1.98407100,67,0.22857900
